Year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,genre1,genre2,genre3,release_date_tn,domestic_gross,worldwide_gross,budget
2010,Easy A,tt1282140,Easy A,92.0,"Comedy,Drama,Romance",7.1,330125.0,en,Easy A,2010-09-17,Comedy,Drama,Romance,"Sep 17, 2010","$58,401,464","$76,200,721",8000000.0
2010,Eat Pray Love,tt0879870,Eat Pray Love,133.0,"Drama,Romance",5.8,77709.0,en,Eat Pray Love,2010-08-12,Drama,Romance,,"Aug 13, 2010","$80,574,010","$206,598,789",60000000.0
2010,Edge of Darkness,tt1226273,Edge of Darkness,117.0,"Crime,Drama,Mystery",6.6,84753.0,en,Edge of Darkness,2010-01-29,Crime,Drama,Mystery,"Jan 29, 2010","$43,313,890","$82,812,456",80000000.0
2010,Extraordinary Measures,tt1244659,Extraordinary Measures,106.0,Drama,6.5,15673.0,en,Extraordinary Measures,2010-01-21,Drama,,,"Jan 22, 2010","$12,482,741","$15,826,984",31000000.0
2010,Faster,tt1433108,Faster,98.0,"Action,Crime,Drama",6.5,93618.0,en,Faster,2010-11-23,Action,Crime,Drama,"Nov 24, 2010","$23,240,020","$35,792,945",24000000.0
2010,Flipped,tt0817177,Flipped,90.0,"Comedy,Drama,Romance",7.7,74937.0,en,Flipped,2010-08-06,Comedy,Drama,Romance,"Aug 6, 2010","$1,755,212","$4,289,993",14000000.0
2010,For Colored Girls,tt1405500,For Colored Girls,133.0,Drama,6.1,6728.0,en,For Colored Girls,2010-11-05,Drama,,,"Nov 5, 2010","$37,729,698","$38,017,873",21000000.0
2010,Four Lions,tt1341167,Four Lions,97.0,"Comedy,Crime,Drama",7.3,66209.0,en,Four Lions,2010-11-05,Comedy,Crime,Drama,"Nov 5, 2010","$310,007","$2,436,111","$3,750,000"
2010,Freakonomics,tt1152822,Freakonomics,93.0,Documentary,6.4,6466.0,en,Freakonomics,2010-10-01,Documentary,,,"Oct 1, 2010","$101,270","$172,867","$2,900,000"
2010,Furry Vengeance,tt0492389,Furry Vengeance,92.0,"Comedy,Family",3.8,14700.0,en,Furry Vengeance,2010-04-02,Comedy,Family,,"Apr 30, 2010","$17,630,465","$39,340,177",35000000.0
2010,Get Him to the Greek,tt1226229,Get Him to the Greek,109.0,"Adventure,Comedy,Music",6.4,161653.0,en,Get Him to the Greek,2010-06-04,Adventure,Comedy,Music,"Jun 4, 2010","$61,153,526","$91,455,875",40000000.0
2010,Going the Distance,tt1322312,Going the Distance,102.0,"Comedy,Romance",6.3,54421.0,en,Going the Distance,2010-09-03,Comedy,Romance,,"Sep 3, 2010","$17,804,299","$43,603,990",32000000.0
2010,Green Zone,tt0947810,Green Zone,115.0,"Action,Drama,Thriller",6.8,122132.0,en,Green Zone,2010-03-11,Action,Drama,Thriller,"Mar 12, 2010","$35,497,337","$97,523,020",100000000.0
2010,Grown Ups,tt1375670,Grown Ups,102.0,Comedy,6.0,210377.0,en,Grown Ups,2010-06-24,Comedy,,,"Jun 25, 2010","$162,001,186","$272,223,430",80000000.0
2010,Gulliver's Travels,tt1320261,Gulliver's Travels,85.0,"Adventure,Comedy,Family",4.9,61178.0,en,Gulliver's Travels,2010-12-25,Adventure,Comedy,Family,"Dec 25, 2010","$42,779,261","$232,017,848",112000000.0
