start_year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,studio,domestic_gross_imdb,foreign_gross,id,release_date_tn,production_budget,domestic_gross_tn,worldwide_gross,budget_wiki
2013,Grown Ups 2,tt2191701,Grown Ups 2,101.0,Comedy,5.4,128500.0,en,Grown Ups 2,2013-07-12,Sony,133699999.0,113300000,48.0,"Jul 12, 2013","$80,000,000","$133,668,525","$247,023,808",80000000
2013,Grudge Match,tt1661382,Grudge Match,113.0,"Comedy,Drama,Sport",6.4,54080.0,en,Grudge Match,2013-12-25,WB,29800000.0,15100000,77.0,"Dec 25, 2013","$40,000,000","$29,807,260","$69,807,260",40000000
2013,Hallows' Eve,tt2106440,Hallows' Eve,78.0,Horror,3.4,587.0,en,Hallows' Eve,2013-10-01,,,,,,,,,Unknown
2013,Hammer of the Gods,tt2193418,Hammer of the Gods,99.0,"Action,Adventure,History",4.5,7523.0,en,Hammer of the Gods,2013-07-05,,,,,,,,,Unknown
2013,Hank: 5 Years from the Brink,tt3137552,Hank: 5 Years from the Brink,85.0,"Biography,Documentary,News",6.5,426.0,en,Hank: 5 Years from the Brink,2013-09-01,,,,,,,,,Unknown
2013,Hansel & Gretel: Warriors of Witchcraft,tt2381962,Hansel & Gretel: Warriors of Witchcraft,83.0,"Action,Adventure,Horror",2.7,1647.0,en,Hansel & Gretel: Warriors of Witchcraft,2013-01-22,,,,,,,,,Unknown
2013,Hansel & Gretel: Witch Hunters,tt1428538,Hansel & Gretel: Witch Hunters,88.0,"Action,Fantasy,Horror",6.1,183387.0,en,Hansel & Gretel: Witch Hunters,2013-01-25,,,,27.0,"Jan 25, 2013","$50,000,000","$55,703,475","$214,949,716",Unknown
2013,Happy Slapping,tt1950192,Happy Slapping,75.0,Drama,6.4,83.0,en,Happy Slapping,2013-08-01,,,,,,,,,Unknown
2013,Hatchet III,tt1870419,Hatchet III,81.0,"Action,Comedy,Horror",5.7,7436.0,en,Hatchet III,2013-06-14,,,,,,,,,Unknown
2013,Haunted,tt1992148,Haunted,,Horror,6.9,7.0,en,Haunted,2013-03-31,,,,,,,,,Unknown
2013,Haunted,tt2133234,Haunted,90.0,Horror,3.4,235.0,en,Haunted,2013-03-31,,,,,,,,,Unknown
2013,Haunter,tt2345567,Haunter,97.0,"Fantasy,Horror,Mystery",5.9,15415.0,en,Haunter,2013-10-25,,,,,,,,,Unknown
2013,Hawking,tt2830416,Hawking,86.0,"Biography,Comedy,Documentary",7.3,1536.0,en,Hawking,2013-03-11,,,,,,,,,Unknown
2013,HazMat,tt2821832,HazMat,80.0,"Horror,Thriller",3.7,401.0,en,HazMat,2013-08-16,,,,,,,,,Unknown
2013,He's Way More Famous Than You,tt2076216,He's Way More Famous Than You,96.0,Comedy,3.7,649.0,en,He's Way More Famous Than You,2013-05-10,,,,,,,,,Unknown
2013,Head Cases: Serial Killers in the Delaware Valley,tt2240884,Head Cases: Serial Killers in the Delaware Valley,110.0,"Horror,Mystery",4.1,125.0,en,Head Cases: Serial Killers in the Delaware Valley,2013-09-28,,,,,,,,,Unknown
2013,Heart of the Country,tt2231251,Heart of the Country,87.0,"Drama,Family,Romance",5.9,1207.0,en,Heart of the Country,2013-08-19,,,,,,,,,Unknown
2013,Heatstroke,tt3663040,Heatstroke,92.0,"Action,Drama,Thriller",4.8,2622.0,en,Heatstroke,2013-12-20,,,,,,,,,Unknown
2013,Hell Baby,tt2318527,Hell Baby,98.0,"Comedy,Horror",4.9,8478.0,en,Hell Baby,2013-09-06,,,,,,,,,2500000
2013,Hell at Heathridge,tt2782108,Hell at Heathridge,,"Horror,Thriller",5.7,41.0,en,Hell at Heathridge,2013-12-05,,,,,,,,,Unknown
2013,Hell's Caretaker,tt2367988,Hell's Caretaker,75.0,"Horror,Thriller",4.2,68.0,en,Hell's Caretaker,2013-01-01,,,,,,,,,Unknown
2013,Helpless,tt3095256,Helpless,75.0,Horror,6.5,11.0,en,Helpless,2013-05-01,,,,,,,,,Unknown
2013,Her,tt1798709,Her,126.0,"Drama,Romance,Sci-Fi",8.0,467232.0,en,Her,2013-12-18,,,,,,,,,23000000
2013,Her Cry: La Llorona Investigation,tt2469216,Her Cry: La Llorona Investigation,89.0,Horror,3.7,70.0,en,Her Cry: La Llorona Investigation,2013-04-19,,,,35.0,"Oct 25, 2013","$35,000",$0,$0,Unknown
